Country,Year,Total GHG Emissions Including Land-Use Change and Forestry (MtCO_e_),GDP-USD (Million US$ (2005)),Population (People),GHG per Capita,GDP per Capita
Antigua & Barbuda,1996,0.48,707,70245,6.88,10064.77
Argentina,1996,336.17,187666,35264070,9.53,5321.73
Armenia,1996,6.19,2272,3173425,1.95,715.95
Australia,1996,512.94,499171,18311000,28.01,27260.72
Austria,1996,66.65,254931,7959017,8.37,32030.46
Azerbaijan,1996,55.59,5066,7763000,7.16,652.58
"Bahamas, The",1996,0.65,5953,283678,2.30,20985.06
Bahrain,1996,19.27,10465,579697,33.24,18052.53
Bangladesh,1996,132.17,37553,122400896,1.08,306.80
Barbados,1996,2.75,3172,263884,10.42,12020.43
Belarus,1996,79.03,15928,10160000,7.78,1567.72
Belgium,1996,157.34,312383,10156637,15.49,30756.54
Belize,1996,11.39,651,212375,53.62,3065.33
Benin,1996,21.28,2936,6176318,3.45,475.36
Bhutan,1996,-5.31,434,512594,-10.37,846.67
Bolivia,1996,110.41,7227,7806953,14.14,925.71
Bosnia & Herzegovina,1996,-3.11,4766,3485575,-0.89,1367.35
Botswana,1996,27.56,6831,1620989,17.00,4214.09
Brazil,1996,1698.06,711109,164392423,10.33,4325.68
Brunei,1996,16.58,8284,302511,54.79,27384.13
Bulgaria,1996,59.28,22183,8362826,7.09,2652.57
Burkina Faso,1996,26.24,3216,10372562,2.53,310.05
Burundi,1996,7.93,992,6294482,1.26,157.60
Cambodia,1996,44.56,2983,11090611,4.02,268.97
Cameroon,1996,191.11,11546,14316949,13.35,806.46
Canada,1996,665.42,856925,29671900,22.43,28880.02
Cape Verde,1996,-0.26,463,408790,-0.63,1132.61
Central African Republic,1996,56.70,1107,3350299,16.92,330.42
Chad,1996,35.32,2742,7216321,4.89,379.97
Chile,1996,52.21,88721,14662323,3.56,6050.95
China,1996,4116.75,1030305,1217550000,3.38,846.21
Colombia,1996,182.00,117884,37236124,4.89,3165.85
Comoros,1996,0.44,285,477548,0.92,596.80
"Congo, Dem. Rep.",1996,200.73,11995,43122601,4.65,278.16
"Congo, Rep.",1996,15.82,4617,2797572,5.66,1650.36
Cook Islands,1996,0.06,108,19946,2.94,5414.62
Costa Rica,1996,15.70,12960,3566605,4.40,3633.71
Cote d'Ivoire,1996,20.30,15771,14632391,1.39,1077.81
Croatia,1996,10.40,32645,4494000,2.31,7264.13
Cuba,1996,15.49,28827,10980758,1.41,2625.23
Cyprus,1996,6.44,12245,873246,7.37,14022.39
Czech Republic,1996,136.58,107092,10315241,13.24,10381.92
Denmark,1996,87.82,219495,5263074,16.69,41704.71
Djibouti,1996,1.09,600,675891,1.61,887.72
Dominica,1996,0.13,314,71146,1.89,4413.46
Dominican Republic,1996,21.78,21920,8118570,2.68,2699.98
Ecuador,1996,120.61,31569,11557151,10.44,2731.56
Egypt,1996,143.39,61453,62123592,2.31,989.21
El Salvador,1996,10.76,13316,5806750,1.85,2293.19
Equatorial Guinea,1996,8.42,499,456389,18.45,1093.37
Eritrea,1996,7.00,910,3473399,2.01,261.99
Estonia,1996,28.42,7599,1415594,20.07,5368.06
Ethiopia,1996,93.77,8174,58815116,1.59,138.98
European Union (15),1996,3686.50,10846010,373871918,9.86,29009.96
European Union (28),1996,4656.98,11469022,480186948,9.70,23884.49
Fiji,1996,1.64,2517,784647,2.08,3207.81
Finland,1996,56.82,145563,5124573,11.09,28404.90
France,1996,490.13,1783288,59752020,8.20,29844.82
Gabon,1996,7.53,8133,1108698,6.79,7335.63
"Gambia, The",1996,4.23,441,1095930,3.86,402.40
Georgia,1996,9.24,3771,4616100,2.00,816.92
Germany,1996,1014.43,2546803,81914831,12.38,31090.87
Ghana,1996,51.24,7107,17169151,2.98,413.94
Greece,1996,104.10,175944,10709173,9.72,16429.28
Grenada,1996,1.68,446,100796,16.69,4424.78
Guatemala,1996,30.70,19883,10214623,3.01,1946.52
Guinea,1996,22.94,2176,8094751,2.83,268.82
Guinea-Bissau,1996,2.94,660,1165465,2.52,566.30
Guyana,1996,7.19,751,730865,9.84,1027.55
Haiti,1996,5.48,2908,7986858,0.69,364.10
Honduras,1996,52.96,6874,5723639,9.25,1200.98
Hungary,1996,78.90,78535,10311238,7.65,7616.45
Iceland,1996,3.03,11226,268916,11.25,41745.38
India,1996,1500.14,482598,973147577,1.54,495.91
Indonesia,1996,1249.80,235915,197097887,6.34,1196.94
Iran,1996,382.51,128499,61440887,6.23,2091.42
Iraq,1996,145.72,24987,21017108,6.93,1188.89
Ireland,1996,58.93,114332,3637510,16.20,31431.39
Israel,1996,62.19,104108,5692000,10.93,18290.23
Italy,1996,473.17,1622779,56860281,8.32,28539.76
Jamaica,1996,11.29,7365,2509923,4.50,2934.35
Japan,1996,1225.89,4240033,125757000,9.75,33716.08
Jordan,1996,21.66,8059,4325000,5.01,1863.35
Kazakhstan,1996,201.87,31004,15577894,12.96,1990.26
Kenya,1996,43.33,14673,28186224,1.54,520.57
Kiribati,1996,0.05,76,77511,0.68,980.51
"Korea, Dem. Rep. (North)",1996,108.12,10588,22016518,4.91,480.91
"Korea, Rep. (South)",1996,432.30,593091,45524681,9.50,13027.90
Kuwait,1996,121.36,49847,1585244,76.55,31444.37
Kyrgyzstan,1996,7.78,1665,4628400,1.68,359.74
Laos,1996,28.67,1602,4986592,5.75,321.26
Latvia,1996,3.64,8526,2457222,1.48,3469.77
Lebanon,1996,17.17,17023,3070984,5.59,5543.17
Lesotho,1996,1.83,1062,1779197,1.03,596.90
Liberia,1996,16.02,117,2197801,7.29,53.24
Libya,1996,100.73,27885,4837354,20.82,5764.52
Lithuania,1996,25.23,15172,3601613,7.00,4212.56
Luxembourg,1996,8.72,23968,414225,21.05,57862.27
"Macedonia, FYR",1996,12.27,4841,1975207,6.21,2450.88
Madagascar,1996,59.99,3811,13882646,4.32,274.52
Malawi,1996,12.56,2220,10153315,1.24,218.65
Malaysia,1996,-75.12,99124,21259831,-3.53,4662.50
Maldives,1996,0.35,450,250659,1.40,1795.27
Mali,1996,23.58,3129,9222157,2.56,339.29
Malta,1996,2.61,4624,372687,6.99,12407.19
Mauritania,1996,9.86,1423,2403805,4.10,591.98
Mauritius,1996,2.74,4311,1133996,2.41,3801.60
Mexico,1996,537.13,659703,97201533,5.53,6786.96
Moldova,1996,14.51,2266,3667748,3.96,617.82
Mongolia,1996,51.08,1647,2316598,22.05,710.96
Montenegro,1996,3.60,1890,613774,5.87,3079.31
Morocco,1996,36.87,43203,27237150,1.35,1586.18
Mozambique,1996,56.77,3230,16463426,3.45,196.19
Myanmar,1996,175.29,8415,45991828,3.81,182.97
Namibia,1996,16.77,4956,1705309,9.83,2906.22
Nauru,1996,0.12,34,10782,11.58,3153.40
Nepal,1996,60.51,5735,21115271,2.87,271.60
Netherlands,1996,231.25,534920,15530498,14.89,34443.20
New Zealand,1996,50.68,83473,3732000,13.58,22366.83
Nicaragua,1996,37.98,4506,4756631,7.99,947.31
Niger,1996,21.13,2519,9499605,2.22,265.17
Nigeria,1996,413.54,60724,111166210,3.72,546.25
Niue,1996,0.06,9.87,2104,26.62,4691.06
Norway,1996,34.90,239218,4381336,7.97,54599.33
Oman,1996,51.90,25983,2175998,23.85,11940.73
Pakistan,1996,220.99,76657,130083700,1.70,589.29
Palau,1996,0.03,176,17695,1.85,9946.31
Panama,1996,28.21,10267,2814525,10.02,3647.86
Papua New Guinea,1996,98.32,4764,4841020,20.31,984.09
Paraguay,1996,97.85,7906,4911701,19.92,1609.63
Peru,1996,100.24,55000,24365985,4.11,2257.25
Philippines,1996,120.11,73166,71184718,1.69,1027.83
Poland,1996,396.28,214666,38624370,10.26,5557.79
Portugal,1996,67.12,160160,10063945,6.67,15914.24
Qatar,1996,22.25,18468,512476,43.41,36036.81
Romania,1996,172.77,82787,22619004,7.64,3660.06
Russian Federation,1996,2340.50,504835,148160126,15.80,3407.36
Rwanda,1996,13.25,1249,5929575,2.23,210.64
Saint Kitts & Nevis,1996,0.14,392,43391,3.33,9034.13
Saint Lucia,1996,0.86,764,148962,5.75,5128.82
Saint Vincent & Grenadines,1996,0.13,359,108078,1.17,3321.68
Samoa,1996,-0.45,324,171276,-2.60,1891.68
Sao Tome & Principe,1996,0.11,89,132323,0.81,672.60
Saudi Arabia,1996,263.51,235518,18848350,13.98,12495.42
Senegal,1996,23.42,5785,8940298,2.62,647.07
Serbia,1996,36.76,18689,7617794,4.83,2453.33
Seychelles,1996,0.26,741,76417,3.36,9696.80
Sierra Leone,1996,9.42,1141,3919708,2.40,291.09
Singapore,1996,44.23,82057,3670700,12.05,22354.59
Slovakia,1996,40.65,43994,5373361,7.56,8187.43
Slovenia,1996,9.30,25589,1988628,4.68,12867.67
Solomon Islands,1996,2.08,459,369439,5.64,1242.42
South Africa,1996,355.53,194136,40000247,8.89,4853.37
Spain,1996,259.34,823256,39478186,6.57,20853.44
Sri Lanka,1996,36.08,16311,18336000,1.97,889.56
Sudan,1996,160.04,15383,25263021,6.33,608.91
Suriname,1996,5.54,1277,441734,12.53,2890.88
Swaziland,1996,2.10,2101,984506,2.13,2134.07
Sweden,1996,81.07,291029,8840998,9.17,32918.12
Switzerland,1996,49.40,340022,7071850,6.99,48081.05
Syria,1996,69.79,21144,14746306,4.73,1433.85
Tajikistan,1996,6.85,1205,5862347,1.17,205.55
Tanzania,1996,150.18,8518,30780453,4.88,276.73
Thailand,1996,259.83,142404,59562136,4.36,2390.85
Togo,1996,12.15,1761,4392177,2.77,400.94
Tonga,1996,0.23,212,96218,2.38,2203.33
Trinidad & Tobago,1996,20.04,8935,1258365,15.92,7100.48
Tunisia,1996,23.66,21484,9089300,2.60,2363.66
Turkey,1996,247.36,340413,59442502,4.16,5726.76
Turkmenistan,1996,53.61,5421,4267690,12.56,1270.24
Uganda,1996,34.77,5304,21407693,1.62,247.76
Ukraine,1996,419.10,59199,51057189,8.21,1159.46
United Arab Emirates,1996,102.44,112398,2470810,41.46,45490.35
United Kingdom,1996,695.69,1837161,58166950,11.96,31584.28
United States,1996,6121.12,9705953,269394000,22.72,36028.84
Uruguay,1996,9.65,15769,3247585,2.97,4855.61
Uzbekistan,1996,186.92,9256,23225000,8.05,398.54
Vanuatu,1996,0.57,325,171802,3.31,1891.71
Venezuela,1996,327.59,123330,22556838,14.52,5467.52
Vietnam,1996,56.49,32261,73156700,0.77,440.98
World,1996,34980.05,35573524,5780020061,6.05,6154.57
Yemen,1996,15.69,11091,15578640,1.01,711.94
Zambia,1996,115.97,5485,9073311,12.78,604.52
Zimbabwe,1996,68.59,8317,11846110,5.79,702.09
Afghanistan,1997,16.31,"3,016",19021226,0.86,158.56
Albania,1997,5.46,4839,3148281,1.73,1537.03
Algeria,1997,106.42,71173,30345466,3.51,2345.42
Angola,1997,119.05,15183,12791388,9.31,1186.97
Antigua & Barbuda,1997,0.52,741,72232,7.15,10258.61
Argentina,1997,341.03,202887,35690778,9.56,5684.58
Armenia,1997,6.80,2347,3137652,2.17,748.01
Australia,1997,522.05,518856,18517000,28.19,28020.52
Austria,1997,65.63,260552,7968041,8.24,32699.63
Azerbaijan,1997,55.24,5360,7838250,7.05,683.83
"Bahamas, The",1997,0.35,6075,286845,1.21,21178.69
Bahrain,1997,19.77,10789,597400,33.09,18059.93
Bangladesh,1997,134.26,39576,124945315,1.07,316.75
Barbados,1997,2.80,3375,264606,10.60,12754.81
Belarus,1997,77.92,17743,10117000,7.70,1753.78
Belgium,1997,152.13,324076,10181245,14.94,31830.68
Belize,1997,11.59,674,218484,53.04,3084.89
Benin,1997,21.51,3104,6361301,3.38,487.95
Bhutan,1997,-5.24,458,521146,-10.05,878.83
Bolivia,1997,111.29,7585,7978521,13.95,950.68
Bosnia & Herzegovina,1997,1.80,6405,3535998,0.51,1811.37
Botswana,1997,28.75,7379,1657349,17.35,4452.29
Brazil,1997,1731.28,735108,166925457,10.37,4403.81
Brunei,1997,17.32,8162,309904,55.90,26337.19
Bulgaria,1997,55.82,21941,8312068,6.72,2639.66
Burkina Faso,1997,26.95,3419,10664982,2.53,320.58
Burundi,1997,7.98,976,6369573,1.25,153.23
Cambodia,1997,45.65,3150,11395958,4.01,276.41
Cameroon,1997,191.74,12160,14709426,13.04,826.68
Canada,1997,670.46,893373,29987200,22.36,29791.81
Cape Verde,1997,-0.22,515,417562,-0.53,1233.35
Central African Republic,1997,59.91,1166,3424733,17.49,340.46
Chad,1997,36.73,2897,7463347,4.92,388.16
Chile,1997,59.48,94582,14872458,4.00,6359.54
China,1997,4083.44,1126093,1230075000,3.32,915.47
Colombia,1997,185.85,121927,37901358,4.90,3216.96
Comoros,1997,0.44,297,489627,0.91,606.58
"Congo, Dem. Rep.",1997,206.32,11322,44078397,4.68,256.86
"Congo, Rep.",1997,16.40,4588,2878333,5.70,1593.98
Cook Islands,1997,0.08,110,19645,3.97,5599.39
Costa Rica,1997,15.77,13683,3658020,4.31,3740.55
Cote d'Ivoire,1997,20.46,16673,15042149,1.36,1108.42
Croatia,1997,12.51,34815,4572000,2.74,7614.83
Cuba,1997,17.66,29630,11024249,1.60,2687.71
Cyprus,1997,6.51,12532,890733,7.30,14069.31
Czech Republic,1997,133.53,106370,10304131,12.96,10323.04
Denmark,1997,78.40,226653,5284991,14.83,42886.17
Djibouti,1997,1.06,596,687897,1.54,866.41
Dominica,1997,0.14,318,70756,2.03,4494.32
Dominican Republic,1997,23.58,23675,8256496,2.86,2867.44
Ecuador,1997,121.41,32936,11799289,10.29,2791.35
Egypt,1997,152.63,64828,63094069,2.42,1027.48
El Salvador,1997,11.57,13881,5855226,1.98,2370.70
Equatorial Guinea,1997,9.85,1247,471288,20.91,2645.94
Eritrea,1997,7.29,982,3560353,2.05,275.82
Estonia,1997,28.08,8491,1399535,20.06,6067.02
Ethiopia,1997,97.17,8430,60584273,1.60,139.15
European Union (15),1997,3616.87,11133461,374798228,9.65,29705.21
European Union (28),1997,4560.70,11775554,480951290,9.48,24483.88
Fiji,1997,1.49,2462,793098,1.87,3104.28
Finland,1997,54.22,154663,5139835,10.55,30091.04
France,1997,481.12,1824970,59963792,8.02,30434.53
Gabon,1997,7.38,8600,1137412,6.48,7561.02
"Gambia, The",1997,4.33,463,1126986,3.84,410.83
Georgia,1997,8.79,4167,4531600,1.94,919.54
Germany,1997,978.53,2593279,82034771,11.93,31611.95
Ghana,1997,52.09,7405,17568461,2.97,421.49
Greece,1997,105.23,183796,10776504,9.76,17055.25
Grenada,1997,1.71,466,101125,16.90,4608.16
Guatemala,1997,31.08,20751,10449636,2.97,1985.81
Guinea,1997,23.21,2289,8296478,2.80,275.90
Guinea-Bissau,1997,2.93,703,1191672,2.46,589.93
Guyana,1997,7.31,798,734059,9.96,1087.11
Haiti,1997,5.98,3398,8136372,0.73,417.63
Honduras,1997,53.67,7217,5852719,9.17,1233.10
Hungary,1997,77.41,81183,10290486,7.52,7889.13
Iceland,1997,2.95,11778,271128,10.89,43440.74
India,1997,1558.45,502142,990460131,1.57,506.98
Indonesia,1997,1433.50,247003,200050444,7.17,1234.70
Iran,1997,399.78,132848,62542531,6.39,2124.12
Iraq,1997,176.41,30294,21693597,8.13,1396.45
Ireland,1997,60.55,126654,3674171,16.48,34471.45
Israel,1997,64.82,108140,5836000,11.11,18529.81
Italy,1997,477.53,1652571,56890372,8.39,29048.34
Jamaica,1997,11.48,8375,2534069,4.53,3304.96
Japan,1997,1221.11,4307689,126057000,9.69,34172.55
Jordan,1997,21.25,8324,4444000,4.78,1873.09
Kazakhstan,1997,174.83,31531,15333703,11.40,2056.32
Kenya,1997,43.19,14743,28943647,1.49,509.37
Kiribati,1997,0.05,80,78725,0.58,1016.20
"Korea, Dem. Rep. (North)",1997,101.42,10323,22240833,4.56,464.15
"Korea, Rep. (South)",1997,460.02,627293,45953580,10.01,13650.58
Kuwait,1997,123.03,51080,1635999,75.20,31222.51
Kyrgyzstan,1997,7.53,1831,4696400,1.60,389.87
Laos,1997,28.52,1712,5096724,5.60,335.90
Latvia,1997,3.01,9233,2432851,1.24,3795.14
Lebanon,1997,18.77,16633,3092718,6.07,5378.12
Lesotho,1997,1.79,1105,1801679,1.00,613.32
Liberia,1997,16.07,241,2365290,6.79,101.89
Libya,1997,100.54,30699,4924347,20.42,6234.13
Lithuania,1997,25.02,16305,3575137,7.00,4560.66
Luxembourg,1997,8.88,25391,419450,21.17,60534.03
"Macedonia, FYR",1997,11.16,4911,1991687,5.60,2465.75
Madagascar,1997,59.66,3952,14329239,4.16,275.80
Malawi,1997,12.30,2304,10404259,1.18,221.45
Malaysia,1997,-62.99,106382,21805835,-2.89,4878.60
Maldives,1997,0.42,508,256347,1.65,1981.69
Mali,1997,24.25,3341,9462256,2.56,353.09
Malta,1997,2.76,4867,375236,7.36,12970.50
Mauritania,1997,10.08,1366,2475726,4.07,551.76
Mauritius,1997,2.82,4556,1148284,2.46,3967.66
Mexico,1997,559.34,705637,98968558,5.65,7129.91
Moldova,1997,13.22,2302,3654208,3.62,629.96
Mongolia,1997,55.99,1711,2335723,23.97,732.54
Montenegro,1997,3.61,2005,612812,5.89,3271.80
Morocco,1997,38.60,42334,27632321,1.40,1532.05
Mozambique,1997,54.80,3560,16914628,3.24,210.47
Myanmar,1997,173.84,9043,46664455,3.73,193.79
Namibia,1997,16.62,5165,1757969,9.46,2938.05
Nauru,1997,0.13,31,10493,11.91,2954.35
Nepal,1997,61.73,6024,21647305,2.85,278.28
Netherlands,1997,223.90,556447,15610650,14.34,35645.34
New Zealand,1997,53.22,86193,3781300,14.07,22794.54
Nicaragua,1997,38.75,4684,4849272,7.99,965.92
Niger,1997,21.53,2589,9849621,2.19,262.85
Nigeria,1997,412.57,62425,113979481,3.62,547.69
Niue,1997,0.06,9.86,2065,27.55,4774.82
Norway,1997,36.55,252118,4405157,8.30,57232.47
Oman,1997,54.51,27551,2177723,25.03,12651.29
Pakistan,1997,227.25,77434,133597492,1.70,579.61
Palau,1997,-0.06,180,18123,-3.52,9932.13
Panama,1997,28.31,10931,2873288,9.85,3804.35
Papua New Guinea,1997,123.36,4578,4970823,24.82,920.97
Paraguay,1997,99.02,8242,5021271,19.72,1641.42
Peru,1997,101.53,58562,24789855,4.10,2362.34
Philippines,1997,128.90,76960,72780928,1.77,1057.42
Poland,1997,386.45,229878,38649660,10.00,5947.74
Portugal,1997,69.51,167249,10108977,6.88,16544.60
Qatar,1997,24.10,24011,529491,45.52,45347.32
Romania,1997,162.00,77735,22553978,7.18,3446.62
Russian Federation,1997,2182.48,511903,147915373,14.75,3460.78
Rwanda,1997,13.64,1422,6470628,2.11,219.76
Saint Kitts & Nevis,1997,0.15,419,43885,3.35,9547.68
Saint Lucia,1997,0.85,767,150994,5.61,5079.67
Saint Vincent & Grenadines,1997,0.13,407,108001,1.17,3768.48
Samoa,1997,-0.44,326,172191,-2.58,1893.25
Sao Tome & Principe,1997,0.11,93,134029,0.80,693.88
Saudi Arabia,1997,246.34,241624,19060850,12.92,12676.45
Senegal,1997,23.96,5966,9164050,2.61,651.02
Serbia,1997,37.92,20031,7596501,4.99,2636.87
Seychelles,1997,0.47,830,77319,6.08,10734.75
Sierra Leone,1997,9.43,1074,3928313,2.40,273.40
Singapore,1997,45.35,88860,3796000,11.95,23408.85
Slovakia,1997,40.93,46661,5383291,7.60,8667.75
Slovenia,1997,9.79,26897,1985956,4.93,13543.60
Solomon Islands,1997,2.09,452,379861,5.50,1189.91
South Africa,1997,371.35,199184,40926063,9.07,4866.92
Spain,1997,280.33,853631,39582413,7.08,21565.92
Sri Lanka,1997,36.28,17356,18568000,1.95,934.73
Sudan,1997,171.45,17009,25903704,6.62,656.62
Suriname,1997,5.52,1350,447771,12.32,3014.93
Swaziland,1997,2.97,2166,1006760,2.95,2151.46
Sweden,1997,74.91,299470,8846062,8.47,33853.48
Switzerland,1997,47.78,347883,7088906,6.74,49074.29
Syria,1997,71.46,21525,15168523,4.71,1419.06
Tajikistan,1997,7.03,1226,5937177,1.18,206.50
Tanzania,1997,148.21,8818,31586039,4.69,279.17
Thailand,1997,265.85,140451,60206941,4.42,2332.80
Togo,1997,12.23,2014,4504291,2.72,447.13
Tonga,1997,0.25,212,96574,2.61,2195.21
Trinidad & Tobago,1997,20.57,9177,1260677,16.32,7279.42
Tunisia,1997,24.18,22653,9214900,2.62,2458.30
Turkey,1997,257.30,366208,60372413,4.26,6065.82
Turkmenistan,1997,54.57,4803,4335991,12.59,1107.71
Uganda,1997,35.82,5575,22084527,1.62,252.44
Ukraine,1997,397.03,57423,50594105,7.85,1134.97
United Arab Emirates,1997,103.89,121604,2608993,39.82,46609.55
United Kingdom,1997,667.01,1884057,58316954,11.44,32307.19
United States,1997,6291.25,10140519,272657000,23.07,37191.49
Uruguay,1997,9.38,17117,3270549,2.87,5233.68
Uzbekistan,1997,193.79,9737,23667000,8.19,411.42
Vanuatu,1997,0.58,341,175004,3.29,1948.53
Venezuela,1997,334.59,131187,23020184,14.53,5698.78
Vietnam,1997,64.39,34891,74306900,0.87,469.55
World,1997,35412.70,36888783,5861978511,6.04,6292.89
Yemen,1997,16.79,11672,16088019,1.04,725.51
Zambia,1997,112.04,5694,9320089,12.02,610.94
Zimbabwe,1997,67.65,8540,12045813,5.62,708.96
Afghanistan,1998,17.15,"2,912",19496836,0.88,149.36
Albania,1998,5.61,5453,3128530,1.79,1742.99
Algeria,1998,111.05,74803,30820435,3.60,2427.06
Angola,1998,127.81,16216,13137542,9.73,1234.33
Antigua & Barbuda,1998,0.53,774,74206,7.15,10430.42
Argentina,1998,343.67,210699,36109342,9.52,5835.03
Armenia,1998,6.75,2518,3112958,2.17,808.88
Australia,1998,547.00,541845,18711000,29.23,28958.63
Austria,1998,65.90,269828,7976789,8.26,33826.64
Azerbaijan,1998,56.57,5896,7913000,7.15,745.10
"Bahamas, The",1998,0.69,6362,289926,2.37,21943.53
Bahrain,1998,20.76,11306,617537,33.62,18308.21
Bangladesh,1998,135.40,41645,127478524,1.06,326.68
Barbados,1998,3.05,3514,265370,11.51,13241.89
Belarus,1998,75.16,19234,10069000,7.46,1910.22
Belgium,1998,156.93,330578,10203008,15.38,32400.05
Belize,1998,11.84,699,225083,52.61,3105.52
Benin,1998,22.45,3227,6546493,3.43,492.94
Bhutan,1998,-5.24,485,533737,-9.82,908.69
Bolivia,1998,112.41,7967,8150214,13.79,977.52
Bosnia & Herzegovina,1998,4.77,7404,3640821,1.31,2033.61
Botswana,1998,29.97,7432,1692148,17.71,4392.05
Brazil,1998,1764.39,735369,169472347,10.41,4339.17
Brunei,1998,17.55,8116,317214,55.33,25585.25
Bulgaria,1998,53.02,22701,8256786,6.42,2749.37
Burkina Faso,1998,27.87,3669,10967836,2.54,334.52
Burundi,1998,7.94,1022,6447672,1.23,158.51
Cambodia,1998,48.73,3308,11685332,4.17,283.09
Cameroon,1998,195.11,12755,15107909,12.91,844.26
Canada,1998,741.44,930342,30247900,24.51,30757.24
Cape Verde,1998,-0.20,579,425932,-0.46,1359.37
Central African Republic,1998,64.89,1220,3498140,18.55,348.76
Chad,1998,39.95,3099,7724316,5.17,401.20
Chile,1998,60.87,97637,15072409,4.04,6477.86
China,1998,4170.62,1214304,1241935000,3.36,977.75
Colombia,1998,188.27,122622,38568056,4.88,3179.37
Comoros,1998,0.47,300,502128,0.94,597.46
"Congo, Dem. Rep.",1998,208.11,11138,44960941,4.63,247.73
"Congo, Rep.",1998,16.29,4760,2961357,5.50,1607.37
Cook Islands,1998,0.06,112,19940,2.86,5616.85
Costa Rica,1998,16.47,14832,3804324,4.33,3898.72
Cote d'Ivoire,1998,19.48,17465,15583654,1.25,1120.73
Croatia,1998,13.33,35463,4571230,2.92,7757.87
Cuba,1998,16.81,29676,11045453,1.52,2686.72
Cyprus,1998,7.01,13164,893654,7.84,14730.53
Czech Republic,1998,125.94,106034,10354365,12.16,10240.51
Denmark,1998,74.34,231680,5295432,14.04,43750.92
Djibouti,1998,1.10,597,689432,1.59,865.93
Dominica,1998,0.12,334,70532,1.64,4735.44
Dominican Republic,1998,24.31,25335,8275432,2.94,3061.47
Ecuador,1998,123.10,34012,11984355,10.27,2838.03
Egypt,1998,160.08,67444,63214352,2.53,1066.91
El Salvador,1998,11.68,14402,5876345,1.99,2450.84
Equatorial Guinea,1998,10.99,1544,483243,22.74,3195.08
Eritrea,1998,7.20,999,3668350,1.96,272.33
Estonia,1998,27.59,9069,1386156,19.91,6542.55
Ethiopia,1998,103.11,8138,62353942,1.65,130.51
European Union (15),1998,3652.39,11473244,375675535,9.72,30540.30
European Union (28),1998,4544.40,12132793,481667296,9.43,25189.16
Fiji,1998,1.44,2494,800616,1.80,3115.10
Finland,1998,50.49,163059,5153498,9.80,31640.45
France,1998,504.27,1889869,60185178,8.38,31400.90
Gabon,1998,7.19,8899,1166525,6.16,7628.64
"Gambia, The",1998,4.48,479,1159271,3.87,413.19
Georgia,1998,8.66,4297,4487300,1.93,957.59
Germany,1998,963.92,2644312,82047195,11.75,32229.16
Ghana,1998,55.95,7753,17968830,3.11,431.47
Greece,1998,109.02,191253,10834880,10.06,17651.60
Grenada,1998,1.72,497,101302,17.02,4906.12
Guatemala,1998,34.58,21787,10691090,3.23,2037.87
Guinea,1998,24.41,2372,8457221,2.89,280.47
Guinea-Bissau,1998,3.05,505,1218336,2.51,414.50
Guyana,1998,7.86,784,737526,10.65,1063.01
Haiti,1998,6.11,4122,8285690,0.74,497.48
Honduras,1998,54.58,7426,5980152,9.13,1241.77
Hungary,1998,77.87,84600,10266570,7.58,8240.34
Iceland,1998,2.99,12536,274047,10.90,45743.98
India,1998,1588.87,533197,1007746556,1.58,529.10
Indonesia,1998,1355.47,214579,202990922,6.68,1057.09
Iran,1998,406.52,136489,63713397,6.38,2142.23
Iraq,1998,161.84,40854,22387179,7.23,1824.88
Ireland,1998,63.90,137482,3712696,17.21,37030.23
Israel,1998,65.02,112823,5971000,10.89,18895.16
Italy,1998,489.81,1679296,56906744,8.61,29509.61
Jamaica,1998,11.99,8763,2556780,4.69,3427.36
Japan,1998,1184.19,4221399,126400000,9.37,33397.14
Jordan,1998,20.52,8573,4564000,4.50,1878.40
Kazakhstan,1998,173.93,30932,15071300,11.54,2052.38
Kenya,1998,44.14,15228,29702246,1.49,512.69
Kiribati,1998,0.05,89,80018,0.62,1112.25
"Korea, Dem. Rep. (North)",1998,94.36,10237,22444993,4.20,456.09
"Korea, Rep. (South)",1998,397.58,591450,46286503,8.59,12778.02
Kuwait,1998,129.18,52950,1722208,75.01,30745.42
Kyrgyzstan,1998,7.88,1869,4769000,1.65,391.91
Laos,1998,30.17,1780,5200898,5.80,342.25
Latvia,1998,2.64,9669,2410019,1.10,4012.00
Lebanon,1998,18.92,17231,3114014,6.08,5533.37
Lesotho,1998,1.78,1125,1821609,0.98,617.59
Liberia,1998,16.15,312,2558085,6.31,121.97
Libya,1998,102.00,27932,5009240,20.36,5576.10
Lithuania,1998,25.98,17549,3549331,7.32,4944.31
Luxembourg,1998,8.95,27039,424700,21.07,63666.12
"Macedonia, FYR",1998,11.92,5077,2013117,5.92,2521.96
Madagascar,1998,60.59,4107,14790245,4.10,277.68
Malawi,1998,12.51,2394,10700180,1.17,223.73
Malaysia,1998,-53.61,98553,22355057,-2.40,4408.53
Maldives,1998,0.39,540,261973,1.49,2061.28
Mali,1998,28.01,3542,9712365,2.88,364.69
Malta,1998,2.69,5117,377516,7.14,13554.39
Mauritania,1998,8.50,1404,2550307,3.33,550.52
Mauritius,1998,3.08,4832,1160421,2.65,4164.01
Mexico,1998,593.34,738815,100678867,5.89,7338.33
Moldova,1998,11.89,2152,3652732,3.26,589.15
Mongolia,1998,52.46,1768,2355618,22.27,750.55
Montenegro,1998,3.76,2104,611947,6.14,3438.21
Morocco,1998,39.41,45712,28013585,1.41,1631.78
