,Country,Year,Total GHG Emissions Including Land-Use Change and Forestry (MtCO_e_),GDP-USD (Million US$ (2005)),Population (People),GHG per Capita,GDP per Capita
0,Afghanistan,1990.0,15.96,3622,11731193.0,1.36,308.75
1,Albania,1990.0,12.18,5620,3286542.0,3.71,1710.00
2,Algeria,1990.0,94.07,66766,26239708.0,3.59,2544.46
3,Angola,1990.0,105.02,15989,10333844.0,10.16,1547.25
4,Antigua & Barbuda,1990.0,0.4,599,61906.0,6.52,9675.96
5,Argentina,1990.0,312.93,129481,32624874.0,9.59,3968.78
6,Armenia,1990.0,14.5,4063,3544695.0,4.09,1146.22
7,Australia,1990.0,503.78,427251,17065100.0,29.52,25036.54
8,Austria,1990.0,64.31,223054,7677850.0,8.38,29051.62
9,Azerbaijan,1990.0,71.11,11947,7159000.0,9.93,1668.81
10,"Bahamas, The",1990.0,0.91,5739,256338.0,3.54,22388.41
11,Bahrain,1990.0,15.29,7239,495944.0,30.82,14596.41
12,Bangladesh,1990.0,119.49,28954,107385847.0,1.11,269.63
13,Barbados,1990.0,2.83,3168,259336.0,10.90,12215.81
14,Belarus,1990.0,169.89,23730,10189000.0,16.67,2328.98
15,Belgium,1990.0,146.76,284240,9967379.0,14.72,28517.03
16,Belize,1990.0,10.58,484,187552.0,56.40,2580.62
17,Benin,1990.0,20.37,2290,5001271.0,4.07,457.88
18,Bhutan,1990.0,-1.61,345,535738.0,-3.01,643.97
19,Bolivia,1990.0,105.62,5665,6794046.0,15.55,833.82
20,Bosnia & Herzegovina,1990.0,5.67,7755,4526511.0,1.25,1713.24
21,Botswana,1990.0,22.33,5163,1383912.0,16.13,3730.73
22,Brazil,1990.0,1606.59,598508,149648341.0,10.74,3999.43
23,Brunei,1990.0,14.76,6894,256929.0,57.45,26832.32
24,Bulgaria,1990.0,90.76,24925,8718289.0,10.41,2858.93
25,Burkina Faso,1990.0,24.81,2391,8811033.0,2.82,271.36
26,Burundi,1990.0,11.22,1224,5605873.0,2.00,218.34
27,Cambodia,1990.0,42.48,899,9057339.0,4.69,99.26
28,Cameroon,1990.0,187.6,12067,12070359.0,15.54,999.72
29,Canada,1990.0,681.93,774585,27791000.0,24.54,27871.79
30,Cape Verde,1990.0,0.21,250,351960.0,0.59,710.31
31,Central African Republic,1990.0,51.77,1098,2912824.0,17.77,376.95
32,Chad,1990.0,33.87,2435,5951574.0,5.69,409.14
33,Chile,1990.0,53.3,54459,13213930.0,4.03,4121.33
34,China,1990.0,3218.45,525283,1135185000.0,2.84,462.73
35,Colombia,1990.0,167.32,94341,33306941.0,5.02,2832.47
36,Comoros,1990.0,0.43,278,412790.0,1.04,673.47
37,"Congo, Dem. Rep.",1990.0,201.87,17658,34910591.0,5.78,505.81
38,"Congo, Rep.",1990.0,13.78,4330,2383283.0,5.78,1816.82
39,Cook Islands,1990.0,0.07,98,18191.0,3.90,5387.28
40,Costa Rica,1990.0,14.46,9815,3078551.0,4.70,3188.19
41,Cote d'Ivoire,1990.0,24.65,13609,12115806.0,2.03,1123.24
42,Croatia,1990.0,20.32,22388,4780000.0,4.25,4683.68
43,Cuba,1990.0,38.49,38539,10600841.0,3.63,3635.47
44,Cyprus,1990.0,4.99,9641,766611.0,6.51,12576.13
45,Czech Republic,1990.0,135.32,106767,10333355.0,13.10,10332.27
46,Denmark,1990.0,67.41,190030,5140939.0,13.11,36964.06
47,Djibouti,1990.0,0.95,733,589924.0,1.61,1242.53
48,Dominica,1990.0,0.12,283,70928.0,1.70,3989.96
49,Dominican Republic,1990.0,18.57,15850,7245127.0,2.56,2187.68
50,Ecuador,1990.0,108.66,26804,10123593.0,10.73,2647.68
51,Egypt,1990.0,123.71,49529,56336614.0,2.20,879.16
52,El Salvador,1990.0,8.25,9702,5344226.0,1.54,1815.42
53,Equatorial Guinea,1990.0,5.59,148,373851.0,14.95,395.88
54,Eritrea,1990.0,5.14,480,3272563.0,1.57,146.67
55,Estonia,1990.0,37.21,5681,1569174.0,23.71,3620.38
56,Ethiopia,1990.0,63.32,6919,48042755.0,1.32,144.02
57,Fiji,1990.0,2.13,2115,728339.0,2.93,2903.87
58,Finland,1990.0,57.49,143592,4986431.0,11.53,28796.55
59,France,1990.0,496.84,1650028,58409202.0,8.51,28249.45
60,Gabon,1990.0,7.1,6744,946703.0,7.50,7123.67
61,"Gambia, The",1990.0,3.92,389,916811.0,4.28,424.30
62,Georgia,1990.0,33.23,12001,4802000.0,6.92,2499.17
63,Germany,1990.0,1111.27,2285750,79433029.0,13.99,28775.81
64,Ghana,1990.0,49.23,5509,14628693.0,3.37,376.59
65,Greece,1990.0,98.35,160627,10156902.0,9.68,15814.57
66,Grenada,1990.0,1.57,409,96286.0,16.28,4247.76
67,Guatemala,1990.0,28.91,15661,8890329.0,3.25,1761.58
68,Guinea,1990.0,21.47,1721,6020113.0,3.57,285.88
69,Guinea-Bissau,1990.0,2.84,506,1017385.0,2.79,497.35
70,Guyana,1990.0,6.3,494,725043.0,8.69,681.34
71,Haiti,1990.0,5.0,3096,7110116.0,0.70,435.44
72,Honduras,1990.0,51.08,5576,4903694.0,10.42,1137.10
73,Hungary,1990.0,94.89,78342,10373988.0,9.15,7551.77
74,Iceland,1990.0,3.08,10574,254826.0,12.07,41494.98
75,India,1990.0,1212.02,350241,868890700.0,1.39,403.09
76,Indonesia,1990.0,1025.74,150091,178633239.0,5.74,840.22
77,Iran,1990.0,263.27,101523,56361868.0,4.67,1801.27
78,Iraq,1990.0,156.37,34168,17517521.0,8.93,1950.50
79,Ireland,1990.0,55.7,83566,3513974.0,15.85,23781.05
80,Israel,1990.0,43.36,62906,4660000.0,9.30,13499.14
81,Italy,1990.0,482.94,1501704,56719240.0,8.51,26476.10
82,Jamaica,1990.0,9.58,4592,2390000.0,4.01,1921.34
83,Japan,1990.0,1116.38,3851123,123537000.0,9.04,31173.84
84,Jordan,1990.0,17.3,5601,3170000.0,5.46,1766.88
85,Kazakhstan,1990.0,350.32,50243,16348000.0,21.43,3073.34
86,Kenya,1990.0,44.98,13020,23446439.0,1.92,555.31
87,Kiribati,1990.0,0.04,68,71040.0,0.51,957.21
88,"Korea, Dem. Rep. (North)",1990.0,164.69,14702,20194361.0,8.16,728.03
89,"Korea, Rep. (South)",1990.0,261.49,378497,42869283.0,6.10,8829.10
90,Kuwait,1990.0,79.27,28342,2059774.0,38.49,13759.76
91,Kyrgyzstan,1990.0,25.32,3067,4391200.0,5.77,698.44
92,Laos,1990.0,30.23,1110,4244520.0,7.12,261.51
93,Latvia,1990.0,27.43,14396,2663151.0,10.30,5405.63
94,Lebanon,1990.0,7.39,9106,2703019.0,2.73,3368.83
95,Lesotho,1990.0,1.85,816,1597534.0,1.16,510.79
96,Liberia,1990.0,16.24,372,2102877.0,7.72,176.90
97,Libya,1990.0,95.4,28902,4259811.0,22.40,6784.81
98,Lithuania,1990.0,38.91,24873,3697838.0,10.52,6726.36
99,Luxembourg,1990.0,8.23,19451,381850.0,21.55,50938.85
100,"Macedonia, FYR",1990.0,11.55,6071,2009710.0,5.75,3020.83
101,Madagascar,1990.0,60.94,3792,11545782.0,5.28,328.43
102,Malawi,1990.0,16.13,1787,9447123.0,1.71,189.16
103,Malaysia,1990.0,-139.27,57312,18211097.0,-7.65,3147.09
104,Maldives,1990.0,0.2,215,215859.0,0.91,996.02
105,Mali,1990.0,23.88,2625,7964066.0,3.00,329.61
106,Malta,1990.0,2.54,3412,354170.0,7.17,9633.79
107,Mauritania,1990.0,9.24,1151,2024163.0,4.57,568.63
108,Mauritius,1990.0,2.13,3216,1058775.0,2.01,3037.47
109,Mexico,1990.0,477.07,561726,86077004.0,5.54,6525.85
110,Moldova,1990.0,28.43,5962,3696000.0,7.69,1613.10
111,Mongolia,1990.0,55.43,1848,2184159.0,25.38,846.09
112,Montenegro,1990.0,3.32,2147,614601.0,5.40,3493.32
113,Morocco,1990.0,30.53,35270,24674974.0,1.24,1429.38
114,Mozambique,1990.0,54.86,2536,13567959.0,4.04,186.91
115,Myanmar,1990.0,171.48,5189,42123003.0,4.07,123.19
116,Namibia,1990.0,15.28,3982,1415447.0,10.79,2813.25
117,Nauru,1990.0,0.16,49,9505.0,16.95,5155.18
118,Nepal,1990.0,53.15,4228,18111200.0,2.93,233.45
119,Netherlands,1990.0,211.2,463436,14951510.0,14.13,30995.93
120,New Zealand,1990.0,76.68,69294,3329800.0,23.03,20810.26
121,Nicaragua,1990.0,38.42,3879,4137788.0,9.29,937.46
122,Niger,1990.0,18.42,2348,7753907.0,2.38,302.82
123,Nigeria,1990.0,385.76,56419,95617350.0,4.03,590.05
124,Niue,1990.0,0.05,8.93,2239.0,24.25,3988.39
125,Norway,1990.0,35.56,189550,4241473.0,8.38,44689.66
126,Oman,1990.0,39.81,18958,1810103.0,22.00,10473.44
127,Pakistan,1990.0,182.73,58314,111090879.0,1.64,524.92
128,Palau,1990.0,-0.02,165,15089.0,-1.33,10935.12
129,Panama,1990.0,27.49,7643,2486776.0,11.05,3073.46
130,Papua New Guinea,1990.0,97.11,2928,4157903.0,23.35,704.20
131,Paraguay,1990.0,92.95,6264,4249747.0,21.87,1473.97
132,Peru,1990.0,110.54,41451,21772035.0,5.08,1903.86
133,Philippines,1990.0,103.3,62100,61948688.0,1.67,1002.44
134,Poland,1990.0,401.98,181449,38110782.0,10.55,4761.09
135,Portugal,1990.0,59.51,142212,9983218.0,5.96,14245.11
136,Qatar,1990.0,16.01,16032,476517.0,33.60,33644.13
137,Romania,1990.0,238.82,88637,23201835.0,10.29,3820.26
138,Russian Federation,1990.0,2982.21,843047,148292000.0,20.11,5685.05
139,Rwanda,1990.0,13.96,1737,7214696.0,1.93,240.76
140,Saint Kitts & Nevis,1990.0,0.1,306,40833.0,2.49,7493.94
141,Saint Lucia,1990.0,0.68,614,138180.0,4.93,4443.48
142,Saint Vincent & Grenadines,1990.0,0.09,334,107509.0,0.83,3106.72
143,Samoa,1990.0,0.37,286,162865.0,2.24,1756.06
144,Sao Tome & Principe,1990.0,0.09,78,117395.0,0.80,664.42
145,Saudi Arabia,1990.0,187.52,197795,16206078.0,11.57,12204.99
146,Senegal,1990.0,23.32,5118,7514110.0,3.10,681.12
147,Serbia,1990.0,33.76,17821,7586000.0,4.45,2349.20
148,Seychelles,1990.0,0.17,614,70000.0,2.46,8771.43
149,Sierra Leone,1990.0,9.62,1480,4042678.0,2.38,366.09
150,Singapore,1990.0,32.28,50440,3047100.0,10.59,16553.44
151,Slovakia,1990.0,56.32,34543,5299187.0,10.63,6518.55
152,Slovenia,1990.0,17.34,22231,1998161.0,8.68,11125.73
153,Solomon Islands,1990.0,2.05,308,311849.0,6.56,987.66
154,South Africa,1990.0,321.73,178396,35200000.0,9.14,5068.07
155,Spain,1990.0,263.22,744040,38850435.0,6.78,19151.39
156,Sri Lanka,1990.0,31.54,12083,17015000.0,1.85,710.14
157,Sudan,1990.0,143.99,11322,20008804.0,7.20,565.85
158,Suriname,1990.0,5.09,1269,406764.0,12.52,3119.75
159,Swaziland,1990.0,3.04,1740,862728.0,3.52,2016.86
160,Sweden,1990.0,90.26,276688,8558835.0,10.55,32327.76
161,Switzerland,1990.0,51.36,335795,6715519.0,7.65,50002.84
162,Syria,1990.0,54.83,13815,12451539.0,4.40,1109.50
163,Tajikistan,1990.0,15.43,3806,5297286.0,2.91,718.48
164,Tanzania,1990.0,146.43,7454,25484814.0,5.75,292.49
165,Thailand,1990.0,171.41,88924,56582726.0,3.03,1571.58
166,Togo,1990.0,12.53,1612,3787602.0,3.31,425.60
167,Tonga,1990.0,0.23,176,95165.0,2.39,1849.42
168,Trinidad & Tobago,1990.0,18.84,8022,1221904.0,15.42,6565.16
169,Tunisia,1990.0,19.3,16587,8154400.0,2.37,2034.12
170,Turkey,1990.0,197.58,270669,53994605.0,3.66,5012.89
171,Turkmenistan,1990.0,53.32,8040,3668000.0,14.54,2191.93
172,Uganda,1990.0,32.99,3466,17534839.0,1.88,197.66
173,Ukraine,1990.0,835.32,137033,51892000.0,16.10,2640.73
174,United Arab Emirates,1990.0,74.63,88257,1806498.0,41.31,48855.30
175,United Kingdom,1990.0,745.99,1647603,57247586.0,13.03,28780.31
176,United States,1990.0,5743.98,8228984,249623000.0,23.01,32965.65
177,Uruguay,1990.0,26.04,12314,3109941.0,8.37,3959.56
178,Uzbekistan,1990.0,190.32,11221,20510000.0,9.28,547.10
179,Vanuatu,1990.0,0.54,270,146633.0,3.71,1841.33
180,Venezuela,1990.0,293.56,104316,19740786.0,14.87,5284.29
181,Vietnam,1990.0,93.1,19892,66016700.0,1.41,301.32
182,Yemen,1990.0,12.12,7858,11790249.0,1.03,666.48
183,Zambia,1990.0,116.26,5235,7844516.0,14.82,667.35
184,Zimbabwe,1990.0,70.7,7099,10461782.0,6.76,678.57
185,Afghanistan,1991.0,15.35,3340,12612043.0,1.22,264.83
186,Albania,1991.0,9.58,3957,3266790.0,2.93,1211.28
187,Algeria,1991.0,93.26,65965,26893663.0,3.47,2452.81
188,Angola,1991.0,106.62,15797,10652727.0,10.01,1482.91
189,Antigua & Barbuda,1991.0,0.4,611,62412.0,6.41,9789.78
190,Argentina,1991.0,306.1,145885,33075194.0,9.25,4410.71
191,Armenia,1991.0,14.48,3588,3511912.0,4.12,1021.67
192,Australia,1991.0,495.96,425431,17284000.0,28.69,24614.15
193,Austria,1991.0,66.18,230731,7754891.0,8.53,29752.96
194,Azerbaijan,1991.0,68.21,11864,7271000.0,9.38,1631.69
195,"Bahamas, The",1991.0,0.74,5499,261102.0,2.84,21060.73
196,Bahrain,1991.0,14.9,8052,509645.0,29.23,15799.23
197,Bangladesh,1991.0,118.89,29921,109934590.0,1.08,272.17
198,Barbados,1991.0,2.99,3076,260175.0,11.48,11822.81
199,Belarus,1991.0,166.47,23445,10194000.0,16.33,2299.88
200,Belgium,1991.0,145.32,289450,10004486.0,14.53,28932.02
201,Belize,1991.0,10.75,535,191368.0,56.18,2795.66
202,Benin,1991.0,20.29,2387,5182525.0,3.91,460.59
203,Bhutan,1991.0,-5.35,343,534905.0,-10.01,641.24
204,Bolivia,1991.0,106.17,5964,6956736.0,15.26,857.30
205,Bosnia & Herzegovina,1991.0,8.99,6116,4373715.0,2.06,1398.35
206,Botswana,1991.0,22.12,5548,1424513.0,15.53,3894.66
207,Brazil,1991.0,1617.9,607558,152153539.0,10.63,3993.06
208,Brunei,1991.0,14.31,7111,264332.0,54.13,26901.78
209,Bulgaria,1991.0,68.2,22820,8632367.0,7.90,2643.54
210,Burkina Faso,1991.0,24.15,2608,9050090.0,2.67,288.17
211,Burundi,1991.0,7.58,1285,5749774.0,1.32,223.49
212,Cambodia,1991.0,42.06,2439,9378185.0,4.48,260.07
213,Cameroon,1991.0,187.27,11608,12430339.0,15.07,933.84
214,Canada,1991.0,602.98,758162,28171682.0,21.40,26912.20
215,Cape Verde,1991.0,-0.28,253,359642.0,-0.79,703.48
216,Central African Republic,1991.0,52.8,1092,2979588.0,17.72,366.49
217,Chad,1991.0,33.96,2643,6142558.0,5.53,430.28
218,Chile,1991.0,34.59,58799,13456476.0,2.57,4369.57
219,China,1991.0,3158.95,573498,1150780000.0,2.75,498.36
220,Colombia,1991.0,164.2,96489,33957286.0,4.84,2841.48
221,Comoros,1991.0,0.42,263,422969.0,0.99,621.79
222,"Congo, Dem. Rep.",1991.0,200.39,16171,36253025.0,5.53,446.06
223,"Congo, Rep.",1991.0,16.02,4434,2447020.0,6.55,1812.00
224,Cook Islands,1991.0,0.05,101,18420.0,2.76,5483.17
225,Costa Rica,1991.0,14.7,10067,3155979.0,4.66,3189.82
226,Cote d'Ivoire,1991.0,18.38,13615,12530078.0,1.47,1086.59
227,Croatia,1991.0,21.54,25432,4510000.0,4.78,5639.02
228,Cuba,1991.0,22.55,34419,10684831.0,2.11,3221.30
229,Cyprus,1991.0,5.49,9713,783138.0,7.01,12402.67
230,Czech Republic,1991.0,145.53,94366,10308578.0,14.12,9154.12
231,Denmark,1991.0,77.07,192501,5154298.0,14.95,37347.67
232,Djibouti,1991.0,0.96,702,612589.0,1.56,1145.96
233,Dominica,1991.0,0.12,285,70849.0,1.70,4022.64
234,Dominican Republic,1991.0,16.14,16000,7392389.0,2.18,2164.39
235,Ecuador,1991.0,109.88,27955,10360630.0,10.61,2698.19
236,Egypt,1991.0,127.74,50063,57387589.0,2.23,872.37
237,El Salvador,1991.0,8.98,10049,5425293.0,1.66,1852.25
238,Equatorial Guinea,1991.0,5.7,146,386418.0,14.76,377.83
239,Eritrea,1991.0,5.4,545,3311719.0,1.63,164.57
240,Estonia,1991.0,36.21,5341,1561314.0,23.19,3420.84
241,Ethiopia,1991.0,67.23,6425,49743883.0,1.35,129.16
242,European Union (15),1991.0,3732.47,10001091,367445785.0,10.16,27217.87
243,European Union (28),1991.0,4496.67,10491548,474367095.0,9.48,22116.94
244,Fiji,1991.0,1.26,2058,735209.0,1.71,2799.20
245,Finland,1991.0,51.47,135099,5013740.0,10.26,26945.75
246,France,1991.0,505.82,1667174,58557072.0,8.64,28470.92
247,Gabon,1991.0,7.31,7157,972539.0,7.51,7359.09
248,"Gambia, The",1991.0,3.61,401,949479.0,3.81,422.34
249,Georgia,1991.0,32.43,9469,4835900.0,6.71,1958.06
250,Germany,1991.0,1068.33,2402512,80013896.0,13.35,30026.18
251,Ghana,1991.0,49.02,5800,15043053.0,3.26,385.56
252,Greece,1991.0,95.42,165607,10256292.0,9.30,16146.87
253,Grenada,1991.0,1.58,419,96455.0,16.41,4343.99
254,Guatemala,1991.0,27.89,16234,9098613.0,3.07,1784.23
255,Guinea,1991.0,21.34,1766,6351760.0,3.36,278.03
256,Guinea-Bissau,1991.0,2.85,532,1040717.0,2.74,511.19
257,Guyana,1991.0,6.5,524,723259.0,8.99,724.50
258,Haiti,1991.0,5.02,3747,7255042.0,0.69,516.47
259,Honduras,1991.0,51.22,5758,5041781.0,10.16,1142.06
260,Hungary,1991.0,88.25,4592,10373400.0,8.51,442.67
261,Iceland,1991.0,2.92,10550,257797.0,11.33,40923.67
262,India,1991.0,1248.47,353943,886348712.0,1.41,399.33
263,Indonesia,1991.0,1064.55,163491,181786329.0,5.86,899.36
264,Iran,1991.0,302.51,114309,57472293.0,5.26,1988.94
265,Iraq,1991.0,124.47,12284,18009865.0,6.91,682.07
266,Ireland,1991.0,54.34,85179,3534235.0,15.38,24101.11
267,Israel,1991.0,44.3,67749,4949000.0,8.95,13689.43
268,Italy,1991.0,466.97,1524807,56758521.0,8.23,26864.81
269,Jamaica,1991.0,9.59,4071,2406042.0,3.99,1691.99
270,Japan,1991.0,1127.66,3979148,123921000.0,9.10,32110.36
271,Jordan,1991.0,17.43,5703,3545000.0,4.92,1608.74
272,Kazakhstan,1991.0,346.32,44716,16450500.0,21.05,2718.22
273,Kenya,1991.0,43.81,13208,24237056.0,1.81,544.95
274,Kiribati,1991.0,0.04,65,72343.0,0.51,898.50
275,"Korea, Dem. Rep. (North)",1991.0,157.79,13687,20510215.0,7.69,667.33
276,"Korea, Rep. (South)",1991.0,287.19,415260,43295704.0,6.63,9591.25
277,Kuwait,1991.0,91.81,29432,1999651.0,45.91,14718.57
278,Kyrgyzstan,1991.0,23.23,2827,4463600.0,5.20,633.35
279,Laos,1991.0,27.67,1158,4369940.0,6.33,264.99
280,Latvia,1991.0,26.76,12582,2650581.0,10.10,4746.88
281,Lebanon,1991.0,8.88,12585,2752473.0,3.22,4572.25
282,Lesotho,1991.0,1.82,848,1627900.0,1.12,520.92
283,Liberia,1991.0,16.0,319,2066060.0,7.74,154.40
284,Libya,1991.0,93.04,31995,4359515.0,21.34,7339.12
285,Lithuania,1991.0,38.1,23462,3704134.0,10.29,6334.00
286,Luxembourg,1991.0,8.11,21132,387000.0,20.96,54604.65
287,"Macedonia, FYR",1991.0,11.42,5696,2004813.0,5.70,2841.16
288,Madagascar,1991.0,58.93,3553,11898267.0,4.95,298.61
289,Malawi,1991.0,14.59,1943,9657518.0,1.51,201.19
290,Malaysia,1991.0,-127.23,62783,18709963.0,-6.80,3355.59
291,Maldives,1991.0,0.22,244,221963.0,0.98,1099.28
292,Mali,1991.0,23.4,2668,8130473.0,2.88,328.15
293,Malta,1991.0,2.44,3626,357727.0,6.83,10136.22
294,Mauritania,1991.0,9.4,1171,2081380.0,4.51,562.61
295,Mauritius,1991.0,2.22,3359,1070266.0,2.08,3138.47
296,Mexico,1991.0,491.61,585443,87890094.0,5.59,6661.08
297,Moldova,1991.0,27.32,5008,3706000.0,7.37,1351.32
298,Mongolia,1991.0,56.45,1687,2217937.0,25.45,760.62
299,Montenegro,1991.0,3.34,1764,616158.0,5.42,2862.90
300,Morocco,1991.0,31.49,37932,25128064.0,1.25,1509.55
301,Mozambique,1991.0,54.8,2660,13893546.0,3.94,191.46
302,Myanmar,1991.0,164.58,5236,42782387.0,3.85,122.39
303,Namibia,1991.0,16.59,4307,1466152.0,11.31,2937.62
304,Nauru,1991.0,0.16,46,9746.0,16.16,4719.89
305,Nepal,1991.0,54.0,4498,18569445.0,2.91,242.23
306,Netherlands,1991.0,220.1,474740,15069798.0,14.61,31502.74
307,New Zealand,1991.0,45.76,68180,3495100.0,13.09,19507.31
308,Nicaragua,1991.0,36.67,3871,4237154.0,8.65,913.58
309,Niger,1991.0,18.38,2407,8004058.0,2.30,300.72
310,Nigeria,1991.0,391.79,56071,98085373.0,3.99,571.66
311,Niue,1991.0,0.05,9.12,2288.0,23.51,3986.01
312,Norway,1991.0,30.41,195436,4261732.0,7.14,45858.35
313,Oman,1991.0,45.41,20109,1885036.0,24.09,10667.70
314,Pakistan,1991.0,179.67,61266,114229172.0,1.57,536.34
315,Palau,1991.0,-0.01,163,15471.0,-0.65,10535.84
316,Panama,1991.0,26.51,8363,2539140.0,10.44,3293.63
317,Papua New Guinea,1991.0,97.23,3208,4261797.0,22.81,752.73
318,Paraguay,1991.0,91.45,6483,4360358.0,20.97,1486.80
319,Peru,1991.0,88.45,42371,22213359.0,3.98,1907.46
320,Philippines,1991.0,83.6,61740,63476449.0,1.32,972.64
321,Poland,1991.0,395.16,168720,38246193.0,10.33,4411.42
322,Portugal,1991.0,60.13,148425,9960235.0,6.04,14901.76
323,Qatar,1991.0,18.24,16345,485129.0,37.59,33692.07
324,Romania,1991.0,204.66,77203,23001155.0,8.90,3356.48
325,Russian Federation,1991.0,2902.21,800499,148624000.0,19.53,5386.07
326,Rwanda,1991.0,12.66,1693,6973664.0,1.82,242.77
327,Saint Kitts & Nevis,1991.0,0.11,307,41009.0,2.69,7486.16
328,Saint Lucia,1991.0,0.63,630,140159.0,4.50,4494.90
329,Saint Vincent & Grenadines,1991.0,0.07,336,107811.0,0.63,3116.57
330,Samoa,1991.0,-0.46,280,164073.0,-2.78,1706.56
331,Sao Tome & Principe,1991.0,0.1,79,120154.0,0.81,657.49
332,Saudi Arabia,1991.0,209.46,215802,16739895.0,12.51,12891.48
333,Senegal,1991.0,22.03,5249,7749606.0,2.84,677.32
334,Serbia,1991.0,34.54,17923,7595636.0,4.55,2359.64
335,Seychelles,1991.0,0.2,631,70755.0,2.86,8918.10
336,Sierra Leone,1991.0,9.64,1515,4053257.0,2.38,373.77
337,Singapore,1991.0,34.05,53813,3135100.0,10.86,17164.68
338,Slovakia,1991.0,54.77,34654,5303294.0,10.33,6534.43
339,Slovenia,1991.0,16.54,23543,1999429.0,8.27,11774.86
340,Solomon Islands,1991.0,2.05,326,320764.0,6.40,1016.32
341,South Africa,1991.0,315.76,176579,35933108.0,8.79,4914.10
342,Spain,1991.0,245.85,762984,38939049.0,6.31,19594.32
343,Sri Lanka,1991.0,31.26,12639,17267000.0,1.81,731.97
344,Sudan,1991.0,143.46,12172,20840825.0,6.88,584.05
345,Suriname,1991.0,5.44,1305,412884.0,13.17,3160.69
346,Swaziland,1991.0,2.04,1771,887248.0,2.30,1996.06
347,Sweden,1991.0,71.22,273518,8617375.0,8.26,31740.29
348,Switzerland,1991.0,51.58,332719,6799978.0,7.59,48929.42
349,Syria,1991.0,58.16,14907,12818302.0,4.54,1162.95
350,Tajikistan,1991.0,14.77,3536,5417554.0,2.73,652.69
351,Tanzania,1991.0,145.47,7608,26337403.0,5.52,288.87
352,Thailand,1991.0,175.41,96534,57184324.0,3.07,1688.12
353,Togo,1991.0,11.7,1601,3887716.0,3.01,411.81
354,Tonga,1991.0,0.25,188,95321.0,2.58,1972.28
355,Trinidad & Tobago,1991.0,18.02,8238,1229906.0,14.65,6698.07
356,Tunisia,1991.0,19.6,17234,8318200.0,2.36,2071.84
357,Turkey,1991.0,187.9,272619,54911233.0,3.42,4964.72
358,Turkmenistan,1991.0,52.43,7670,3772350.0,13.90,2033.22
359,Uganda,1991.0,33.53,3658,18156095.0,1.85,201.48
360,Ukraine,1991.0,790.77,125507,52000470.0,15.21,2413.57
361,United Arab Emirates,1991.0,80.16,89016,1908002.0,42.01,46654.04
362,United Kingdom,1991.0,749.59,1627233,57424897.0,13.05,28336.72
363,United States,1991.0,5616.81,8223864,252981000.0,22.20,32507.83
364,Uruguay,1991.0,6.53,12750,3131936.0,2.08,4070.96
365,Uzbekistan,1991.0,190.95,11166,20952000.0,9.11,532.93
366,Vanuatu,1991.0,0.49,279,150779.0,3.26,1850.39
367,Venezuela,1991.0,292.07,114465,20218813.0,14.45,5661.31
368,Vietnam,1991.0,24.23,21077,67242400.0,0.36,313.45
370,Yemen,1991.0,13.55,8352,12384543.0,1.09,674.39
371,Zambia,1991.0,116.13,5233,8038236.0,14.45,651.01
372,Zimbabwe,1991.0,71.05,7492,10733048.0,6.62,698.03
373,Afghanistan,1992.0,14.05,"3,475",13811876.0,1.02,251.60
374,Albania,1992.0,7.33,3672,3247039.0,2.26,1130.88
375,Algeria,1992.0,93.73,67153,27535151.0,3.40,2438.81
376,Angola,1992.0,107.83,14707,11002758.0,9.80,1336.66
377,Antigua & Barbuda,1992.0,0.41,616,63434.0,6.43,9710.88
378,Argentina,1992.0,311.39,163305,33520803.0,9.29,4871.75
379,Armenia,1992.0,14.41,2088,3449497.0,4.18,605.31
380,Australia,1992.0,495.61,427150,17495000.0,28.33,24415.55
381,Austria,1992.0,60.95,235561,7840709.0,7.77,30043.33
382,Azerbaijan,1992.0,62.57,9183,7382000.0,8.48,1243.97
383,"Bahamas, The",1992.0,0.75,5288,266097.0,2.83,19872.45
384,Bahrain,1992.0,16.94,8591,522751.0,32.40,16434.21
385,Bangladesh,1992.0,120.95,31429,112430968.0,1.08,279.54
386,Barbados,1992.0,2.79,2923,260963.0,10.68,11200.82
387,Belarus,1992.0,154.38,21194,10216000.0,15.11,2074.59
388,Belgium,1992.0,143.68,293881,10045158.0,14.30,29255.99
389,Belize,1992.0,10.9,599,194894.0,55.95,3073.47
390,Benin,1992.0,20.36,2458,5378226.0,3.79,457.03
391,Bhutan,1992.0,-5.37,359,528304.0,-10.16,679.53
392,Bolivia,1992.0,107.88,6062,7123294.0,15.14,851.01
393,Bosnia & Herzegovina,1992.0,19.75,4735,4143068.0,4.77,1142.87
394,Botswana,1992.0,22.7,5710,1465072.0,15.49,3897.42
395,Brazil,1992.0,1629.96,604721,154597985.0,10.54,3911.57
396,Brunei,1992.0,14.64,7449,271935.0,53.84,27392.58
397,Bulgaria,1992.0,63.27,21161,8540164.0,7.41,2477.82
398,Burkina Faso,1992.0,24.52,2614,9297116.0,2.64,281.16
399,Burundi,1992.0,7.68,1298,5882679.0,1.31,220.65
400,Cambodia,1992.0,42.6,2011,9721775.0,4.38,206.86
401,Cameroon,1992.0,187.2,11248,12796831.0,14.63,878.97
402,Canada,1992.0,617.57,764639,28519597.0,21.65,26811.00
403,Cape Verde,1992.0,-0.25,281,368873.0,-0.67,761.78
404,Central African Republic,1992.0,53.58,1022,3050789.0,17.56,335.00
